,時限,教室,回生
71,月2,教育院棟演習室21,１回生
72,月2,4共25,１回生
73,月2,教育院棟演習室24,１回生
74,月2,共北11,１回生
75,月2,4共33,１回生
76,月2,共北3D,１回生
77,月2,共西11,１回生
78,月2,1共22,１回生
79,月2,1共23,１回生
80,月2,共北33,１回生
81,月2,共北3A,１回生
82,月2,教育院棟演習室23,１回生
83,月2,4共40,１回生
84,月2,共西21,全回生
85,月2,共西02,全回生
86,月2,共西32,全回生
87,月2,共西42,全回生
88,月2,共西03,全回生
89,月2,4共32,全回生
90,月2,共西01,全回生
91,月2,共西22,２回生以上
92,月2,総人1305(CALL),２回生以上
93,月2,吉田国際交流会館南講義室4,全回生
94,月2,吉田国際交流会館南講義室5,全回生
95,月2,共北34,２回生以上
96,月2,共北3C,全回生
97,月3,4共11,全回生
98,月3,共北32,全回生
99,月3,共北37,全回生
100,月3,4共20,全回生
101,月3,4共12,全回生
102,月3,共東42,全回生
103,月3,共西31,全回生
104,月3,共南11,全回生
105,月3,共北26,全回生
106,月3,4共31,全回生
107,月3,4共21,全回生
108,月3,総合研究4号館2階共通3講義室,全回生
109,月3,共北3D,主として１・２回生
110,月3,共北3C,主として１・２回生
111,月3,共北38,全回生
112,月3,共西41,全回生
113,月3,1共21,全回生
114,月3,共北3B,主として１・２回生
115,月3,共南01,全回生
116,月3,共北24(CALL),２回生以上
117,月3,共東12,２回生以上
118,月3,教育院棟講義室32,主として２回生
119,月3・火1,1共31,主として１回生
120,月3・火2,1共31,主として１回生
121,月3・火1,共東41,主として１回生
122,月3・火1,共東31,主として１回生
123,月3・火2,共東41,主として１回生
124,月3・火2,共東31,主として１回生
125,月3・火1,1共02,主として１回生
126,月3・火2,1共02,主として１回生
127,月3・火1,共西32,主として１回生
128,月3・火2,共西32,主として１回生
129,月3・火2,4共41,主として１回生
130,月3・月4,物理学実験室(2共),主として１回生
131,月3,共北25,主として１・２回生
132,月3,共北27,主として２回生
133,月3・月4,化学実験室(2共),主として１回生
134,月3,共北36,全回生
135,月3,1共01,主として２回生
136,月3,総人1B05,主として１・２回生
137,月3・月4,生物学実習室１・２(2共),主として１・２回生
138,月3・月4,生物実習室２(2共),主として１・２回生
139,月3,総合研究8号館3階NSホール,主として２回生
140,月3,教育推進・学生支援部棟多目的ホール,全回生
141,月3,4共13,主として１・２回生
142,月3,共北33,１回生
143,月3,教育院棟演習室21,１回生
144,月3,4共25,１回生
145,月3,共北3A,１回生
146,月3,教育院棟演習室24,１回生
147,月3,4共24,１回生
148,月3,1共22,１回生
149,月3,1共23,１回生
150,月3,教育院棟演習室23,１回生
151,月3,4共33,１回生
152,月3,共北35,１回生
153,月3,1共04,１回生
154,月3,共北34,１回生
155,月3,4共23,１回生
156,月3,教育院棟演習室22,１回生
157,月3,共北12,１回生
158,月3,1共33,全回生
159,月3,4共10,全回生
160,月3,共西03,全回生
161,月3,共西42,全回生
162,月3,共北11,全回生
163,月3,共西23,全回生
164,月3,共西22,全回生
165,月3,共西11,全回生
166,月3,共北23(CALL),全回生
167,月3,情報メ302(CALL),全回生
168,月3,情報メ301(CALL),全回生
169,月3,共西02,全回生
170,月3,共西01,全回生
171,月3,共西12,２回生以上
172,月3,1共03,２回生以上
173,月3,共北28,２回生以上
174,月3・月4・金1・金2,月：第6講義室　金：第4講義室,全回生
175,月3,吉田国際交流会館南講義室4,全回生
176,月3・月4・火3・火4,吉田国際交流会館南講義室3,全回生
177,月3,共北31,全回生
178,月3,4共40,２回生以上
179,月4,共東41,２回生以上
180,月4,4共11,全回生
181,月4,共北3D,主として１・２回生
182,月4,共北3C,全回生
183,月4,共北25,主として１・２回生
184,月4,共東32,２回生以上
185,月4,1共32,２回生以上
186,月4,総合研究2号館2階法科第一教室,２回生以上
187,月4,共東21,主として１回生
188,月4,共南11,主として１回生
189,月4,1共31,主として１回生
190,月4,共北26,主として１回生
191,月4,共南01,主として１・２回生
192,月4,共北27,主として１・２回生
193,月4,4共23,１回生
194,月4,4共24,１回生
195,月4,共北35,１回生
196,月4,共北33,１回生
